N=194124, N_branch=500, dt_b=-0.0001, dt_f=0.0001, rtol=1e-9
T_min=0, T_max_b=-6.283185307179586, T_max_f=12.566370614359172, ZOOM=False
Features: normalized position and unit tangent blocks.
Perigee: first noninitial geocentric minimum outside lunar SOI within each interval, before any detected surface entry.
Frame: geocentric inertial axes coincident with synodic axes at t=0.
STD: ddof=0; w statistics use offsets from the cluster circular mean (angle_origin_deg).
angle_resultant: 1=concentrated directions; 0=no defined mean direction. Broad angular clouds require caution with linearized moments.
NaN: missing event, undefined parameter/statistic, or missing representative parameter.

K=10, STD=0.01603226725
n = trajectories per cluster; conditions overlap.
n = 1: clusters=0/10 (0.00%); trajectories=0/194124 (0.00%)
n < 10: clusters=0/10 (0.00%); trajectories=0/194124 (0.00%)
n < 100: clusters=0/10 (0.00%); trajectories=0/194124 (0.00%)

K=10, phase=backward, parameter=a [km]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
43 28594 193 193 0 0.322349546 0.03908783169 0.2711493309 0.3911129193 0.1199635885 0.2268033251 0.4174868504 0.1906835253 0.2077288887 0.0741282884 0.1184742942 nan nan
44 47728 464 464 0 0.2524508971 0.02065786673 0.22259999 0.2880725551 0.06547256515 0.2148447897 0.2963670999 0.08152231018 0.1505981001 0.0375279312 0.04582247597 nan nan
45 23915 4569 4569 0 0.3465081058 0.04363543045 0.2881325354 0.425872343 0.1377398077 0.275559612 0.4432380392 0.1676784272 0.2527947697 0.07424226238 0.08856106041 nan nan
46 33367 591 591 0 0.3381476244 0.04605869917 0.2671511377 0.4036630331 0.1365118954 0.2316081199 0.4185724086 0.1869642887 -0.2239906209 0.08695155372 0.1224945715 nan nan
47 175331 13260 0 13260 nan nan nan nan nan nan nan nan nan nan nan nan nan
48 152164 538 0 538 nan nan nan nan nan nan nan nan nan nan nan nan nan
49 218982 870 0 870 nan nan nan nan nan nan nan nan nan nan nan nan nan
50 99635 427 427 0 0.3782033999 0.06816780543 0.2659429061 0.4840944594 0.2181515533 0.2509818376 0.4993476049 0.2483657673 -0.07883680272 0.118846683 0.1338077515 nan nan
51 75967 243 243 0 0.3232247278 0.03612882652 0.2359628545 0.3538582503 0.1178953958 0.2089609521 0.383408137 0.1744471848 -0.9045441138 0.09637110358 0.1233730059 nan nan
52 204256 1635 0 1635 nan nan nan nan nan nan nan nan nan nan nan nan nan
53 47027 2323 2323 0 0.5272312755 0.0156284866 0.4949721174 0.5430175125 0.04804539517 0.4866895261 0.5458975099 0.05920798382 -0.5248497466 0.04129213615 0.04957472744 nan nan
54 153332 545 0 545 nan nan nan nan nan nan nan nan nan nan nan nan nan
55 165874 9617 0 9617 nan nan nan nan nan nan nan nan nan nan nan nan nan
56 105817 678 678 0 0.4356339978 0.05322798765 0.2843944273 0.4864504786 0.2020560513 0.2568900865 0.4969553305 0.240065244 -1.26037461 0.1378915192 0.16539586 nan nan
57 33842 433 433 0 0.382137721 0.0572365468 0.2842842618 0.4741039394 0.1898196776 0.2730779203 0.4976807676 0.2246028473 0.0003999299871 0.1038151373 0.1153581217 nan nan
58 6146 1530 1530 0 0.3845851793 0.02678356867 0.3402659396 0.4252311516 0.08496521206 0.2805506333 0.4454399812 0.1648893479 -0.1855220124 0.04788106132 0.103193678 nan nan
59 11641 1358 1358 0 0.457744976 0.02129569074 0.4207133201 0.4876675422 0.06695422207 0.4066010115 0.4985953263 0.09199431478 -0.1787971488 0.03762303634 0.04745039015 nan nan
60 100641 480 0 480 nan nan nan nan nan nan nan nan nan nan nan nan nan
61 36030 792 792 0 0.2501701982 0.01456516287 0.2394896982 0.262916972 0.02342727382 0.2349466751 0.5051342118 0.2701875367 13.30001482 0.0132134456 0.2549246085 nan nan
62 46308 75 75 0 0.4524416369 0.0375676053 0.3913204057 0.5076180635 0.1162976578 0.3763806944 0.5081477689 0.1317670745 -0.1110517486 0.08681921192 0.1017589232 nan nan
63 148588 6839 0 6839 nan nan nan nan nan nan nan nan nan nan nan nan nan
64 30178 606 606 0 0.336824116 0.03787928813 0.2754043856 0.392545986 0.1171416004 0.2364314276 0.410756306 0.1743248783 -0.09387930213 0.06993093642 0.1089038944 nan nan
65 42086 7498 7498 0 0.3238724377 0.04490157827 0.2577204867 0.3918385602 0.1341180735 0.2337113159 0.4063395632 0.1726282473 -0.001174656727 0.0895696213 0.1135787921 nan nan
66 19851 368 368 0 0.210946233 0.01138154573 0.1925267569 0.2253382142 0.03281145729 0.1768589676 0.2416817733 0.06482280567 -0.3179502751 0.01950432865 0.03345199166 nan nan
67 184619 884 0 884 nan nan nan nan nan nan nan nan nan nan nan nan nan
68 52112 184 184 0 0.2597053278 0.01139908195 0.24282667 0.2785514644 0.03572479446 0.2341169465 0.281913467 0.0477965205 0.08100502048 0.02009205852 0.02516386364 nan nan
69 62912 445 445 0 0.5046897355 0.009531178192 0.4885865435 0.5112174204 0.02263087689 0.4853344496 0.5704147561 0.08508030652 2.367547213 0.01920349956 0.06304471446 nan nan
70 165903 8688 0 8688 nan nan nan nan nan nan nan nan nan nan nan nan nan
71 27803 337 337 0 0.1930733308 0.02069622372 0.1721599813 0.2343272658 0.06216728444 0.1697173735 0.2428185619 0.07310118834 0.4720946266 0.03907228618 0.04756358227 nan nan
72 133750 808 0 808 nan nan nan nan nan nan nan nan nan nan nan nan nan

K=73, phase=backward, parameter=w [deg]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 151769 15807 0 15807 nan nan nan nan nan nan nan nan nan nan nan nan nan
1 23310 3589 3589 0 -0.9160958365 5.118387675 -4.302075713 17.29139783 21.59347355 -4.992880529 23.88284207 28.8757226 3.024235543 18.88649872 25.47794296 186.5560148 0.9960426211
2 23125 685 685 0 2.522491866 13.59787258 -22.48488001 17.15629552 39.64117553 -24.27528206 19.58586014 43.8611422 -0.3130573306 33.41521308 35.20561514 193.8637556 0.9720602922
3 174958 1272 0 1272 nan nan nan nan nan nan nan nan nan nan nan nan nan
4 46306 534 534 0 -2.25911903 5.579760958 -3.590026943 13.44949187 17.03951881 -22.70793611 18.62729771 41.33523382 1.259751683 17.36954756 22.15573761 194.3967659 0.99528085
5 82529 850 0 850 nan nan nan nan nan nan nan nan nan nan nan nan nan
6 32340 46 46 0 5.390603167 15.11558892 -30.08966574 16.20343707 46.2931028 -30.87722383 16.5228158 47.40003963 -0.8113583909 41.74385168 42.53140977 198.4792412 0.9656810581
7 27925 872 872 0 -4.877955478 10.47862294 -8.578181162 17.72573463 26.30391579 -32.24081544 17.9185128 50.15932823 0.9019753606 22.86633957 27.11129714 199.1998619 0.9833852273
8 41926 252 252 0 1.269379215 7.726761074 -18.84712928 10.17254593 29.01967521 -20.8237406 20.23264447 41.05638508 -1.271924758 19.50532822 21.35303233 191.2844101 0.9909733861
9 72665 17262 0 17262 nan nan nan nan nan nan nan nan nan nan nan nan nan
10 10200 4755 4755 0 -0.2532729225 2.673718581 -3.507830609 6.13721972 9.645050328 -4.252343777 8.993565776 13.24590955 1.134070248 6.3115356 9.167881656 185.577414 0.9989121145
11 221066 1576 0 1576 nan nan nan nan nan nan nan nan nan nan nan nan nan
12 21398 373 373 0 -0.1543352318 3.578092195 -4.925174748 4.886648657 9.811823405 -12.52723494 15.14390021 27.67113515 1.41343664 5.441298366 15.21345397 200.6410421 0.998054833
13 152421 1767 0 1767 nan nan nan nan nan nan nan nan nan nan nan nan nan
14 173287 1246 0 1246 nan nan nan nan nan nan nan nan nan nan nan nan nan
15 52788 2606 2606 0 -1.189919183 4.978462935 -5.987923024 10.3293843 16.31730732 -7.207659604 14.12437606 21.33203566 0.8803461581 11.83396131 15.62895307 189.7144807 0.9962320926
16 84771 761 761 0 2.494698585 9.979395166 -18.10063924 4.405707255 22.5063465 -45.00792363 4.608774065 49.6166977 -3.84688154 21.14076871 48.0480531 212.0081149 0.985469405
17 66531 158 158 0 -0.1529623422 4.850517905 -4.744834902 7.394457121 12.13929202 -19.61500661 8.259686138 27.87469274 -0.9388647206 9.276114894 18.14239235 194.3722326 0.9964286045
18 120454 12412 0 12412 nan nan nan nan nan nan nan nan nan nan nan nan nan
19 32794 250 250 0 5.785610262 14.23705693 -30.43403085 13.1637478 43.59777865 -35.33597575 13.59191167 48.92788742 -1.038262286 38.2942807 43.19622561 202.5798153 0.9695759088
20 110195 959 959 0 1.994681914 8.254280519 -16.8386521 9.110463052 25.94911515 -17.06691965 11.18275682 28.24967647 -1.14068247 20.85083088 21.07909844 205.9105768 0.9896788551
21 23602 348 348 0 0.1725456668 3.143318226 -5.210778494 3.13838223 8.349160723 -7.109484911 13.37201461 20.48149952 1.081948176 5.18315136 14.16448095 202.3678272 0.9984979331
22 60 433 433 0 -19.63481663 23.3811185 -22.15574128 26.25301455 48.40875583 -22.31005496 26.42699343 48.73704839 0.1828188834 48.33233109 48.50630996 189.3653212 0.9179322444
23 151422 3209 0 3209 nan nan nan nan nan nan nan nan nan nan nan nan nan
24 69514 1584 1584 0 -0.04584405891 2.854146897 -3.814666477 4.362213462 8.17687994 -21.28842242 6.477429635 27.76585205 -1.256424056 5.706915482 20.06996264 196.2757228 0.9987620836
25 159163 370 0 370 nan nan nan nan nan nan nan nan nan nan nan nan nan
26 148599 641 0 641 nan nan nan nan nan nan nan nan nan nan nan nan nan
27 167957 1 0 1 nan nan nan nan nan nan nan nan nan nan nan nan nan
28 10887 501 501 0 0.9853892617 7.639729096 -13.83829323 8.917690014 22.75598325 -23.9427167 20.95905823 44.90177492 -0.6331747553 16.44994813 26.08360002 192.0740684 0.9911550372
29 36859 155 155 0 -2.467841252 7.25403135 -3.747646346 14.55743336 18.30507971 -22.55984136 18.3589772 40.91881856 0.4447897538 17.66595463 21.37445632 193.1377036 0.9920341755
30 49395 7398 7398 0 0.3224157628 3.286309921 -7.076683287 4.540141959 11.61682525 -11.38650944 12.94244562 24.32895506 -0.7300620664 7.150786211 12.88338887 204.6294562 0.9983566254
31 90992 2366 2366 0 0.03056434453 5.977015921 -10.26126609 9.252222008 19.5134881 -13.4564482 10.96892278 24.42537098 -0.1426160342 11.19493752 14.39011962 193.575713 0.9945691819
32 176015 15423 0 15423 nan nan nan nan nan nan nan nan nan nan nan nan nan
33 116002 10722 0 10722 nan nan nan nan nan nan nan nan nan nan nan nan nan
34 29841 93 93 0 3.092660985 15.17972431 -32.11766247 14.70686821 46.82453068 -32.94613571 15.30286052 48.24899623 -1.050237571 39.80048385 40.62895709 200.4590345 0.9654640966
35 69158 1454 1454 0 -1.422177883 4.284570326 -4.747203105 8.859241113 13.60644422 -5.387443364 11.55989159 16.94733495 0.9017013631 8.575780292 11.27643076 191.9197655 0.9972075932
36 31348 169 169 0 -0.5655749774 3.641598264 -3.531025441 3.290850747 6.821876188 -3.592088555 20.46646096 24.05854951 2.82290327 3.93343037 21.10904058 192.8437937 0.9979898135
37 181346 813 0 813 nan nan nan nan nan nan nan nan nan nan nan nan nan
38 31678 340 340 0 0.5136842314 2.54041351 -7.619015781 2.202887028 9.821902809 -10.25843964 9.246290501 19.50473014 -1.946379479 8.870442246 11.50986611 205.8437166 0.999018607
39 58460 11875 11875 0 0.02966896969 4.559227679 -7.16453524 7.555925469 14.72046071 -26.45098679 13.57011028 40.02109707 0.124948502 9.638188183 24.3740635 200.0989913 0.9968379734
40 37086 551 551 0 -2.286976489 5.872506915 -3.249792089 15.5173608 18.76715289 -3.832390157 20.91514029 24.74753045 2.236877483 17.91641195 23.31419144 193.0641613 0.9947774232
41 98857 124 124 0 1.749870354 8.184369808 -15.94745531 8.168079705 24.11553502 -17.84544728 8.265287925 26.11073521 -0.8745349331 20.33408232 22.23207429 208.4640643 0.9898412634
42 29606 244 244 0 3.119415852 16.1595499 -27.29030728 19.75972042 47.0500277 -28.64578962 20.5498187 49.19560833 -0.3506396775 40.66181571 42.01729805 195.5826928 0.9606721802
43 28594 193 193 0 -0.8123660314 8.180824466 -4.154275391 20.27545561 24.429731 -28.55977629 21.00506906 49.56484535 0.2061094178 21.62876248 27.74741026 195.7321015 0.989940763
44 47728 464 464 0 0.2937225038 1.225193636 -2.296775104 1.462081937 3.75885704 -3.845039655 1.67873991 5.523779566 -0.733353644 2.70410719 4.252371742 214.0543384 0.9997713926
45 23915 4569 4569 0 -0.1028541816 1.781835544 -2.814558327 3.04026133 5.854819656 -3.763517726 3.928572999 7.692090725 0.1367587112 4.528967184 5.477926584 190.3382624 0.9995165129
46 33367 591 591 0 -0.02045682555 5.724249523 -2.841387917 5.888826487 8.730214404 -29.04894099 20.63079395 49.67973494 -0.6710031595 18.08611946 29.33158727 196.032733 0.9950752522
47 175331 13260 0 13260 nan nan nan nan nan nan nan nan nan nan nan nan nan
48 152164 538 0 538 nan nan nan nan nan nan nan nan nan nan nan nan nan
49 218982 870 0 870 nan nan nan nan nan nan nan nan nan nan nan nan nan
50 99635 427 427 0 2.317562285 7.745592357 -8.891149733 5.102422859 13.99357259 -44.62943711 5.20966456 49.83910167 -3.795197493 11.1691634 46.90745078 212.13029 0.9911465143
51 75967 243 243 0 5.11441888 11.14510064 -15.38665661 6.477417721 21.86407433 -41.91452785 6.953858965 48.86838682 -2.284103484 21.27992837 47.80779962 209.0669405 0.9815534017
52 204256 1635 0 1635 nan nan nan nan nan nan nan nan nan nan nan nan nan
53 47027 2323 2323 0 -1.604007253 5.590836897 -6.542334113 11.64791838 18.19025249 -7.698575977 16.29644137 23.99501734 0.9005786051 12.83230038 17.48082337 187.0428126 0.995250392
54 153332 545 0 545 nan nan nan nan nan nan nan nan nan nan nan nan nan
55 165874 9617 0 9617 nan nan nan nan nan nan nan nan nan nan nan nan nan
56 105817 678 678 0 1.630461643 7.432017552 -18.83691636 8.522008557 27.35892492 -19.08837066 9.121229863 28.20960052 -1.415186979 22.16350244 22.41495674 207.800085 0.9916391309
57 33842 433 433 0 0.3856022057 3.262268991 -3.039581856 2.976197295 6.015779152 -26.48926611 3.132863196 29.6221293 -4.692105703 3.707762336 27.15744659 193.4471161 0.9983956111
58 6146 1530 1530 0 -0.3336317563 2.620966921 -2.066958435 0.8547203086 2.921678744 -2.581552364 13.75001731 16.33156967 3.929515153 2.02460356 14.14896339 180.86337 0.9989571858
59 11641 1358 1358 0 -0.2822260557 1.959591015 -1.9504872 1.919458954 3.869946155 -2.282215934 25.25918579 27.54140173 3.956717333 2.272321076 25.61204791 180.4589778 0.9994169538
60 100641 480 0 480 nan nan nan nan nan nan nan nan nan nan nan nan nan
61 36030 792 792 0 0.6120357643 2.725679344 -5.581434829 3.215863714 8.797298543 -13.12917221 9.503047325 22.63221953 -0.9372296505 6.276820667 13.58194889 207.1579217 0.9988694477
62 46308 75 75 0 -1.881258636 5.290432103 -3.544117224 14.62834788 18.1724651 -4.809812135 17.38894639 22.19875853 2.076110229 18.14115617 20.90175469 194.1179788 0.9957556698
63 148588 6839 0 6839 nan nan nan nan nan nan nan nan nan nan nan nan nan
64 30178 606 606 0 0.693281808 5.463965544 -1.959649582 1.891854269 3.851503852 -27.49793781 22.27270395 49.77064176 -2.543759103 3.468020332 28.72087261 194.4116461 0.9955233212
65 42086 7498 7498 0 -1.378063706 4.772289382 -5.789752528 9.214193952 15.00394648 -8.11161944 14.31998682 22.43160626 0.8256348918 9.923290779 15.02908365 201.536788 0.99653618
66 19851 368 368 0 0.5942177028 4.899985323 -6.037511178 6.496926643 12.53443782 -28.36365817 14.04626272 42.4099209 -1.991735016 10.32546839 28.22819078 201.0001035 0.9963723688
67 184619 884 0 884 nan nan nan nan nan nan nan nan nan nan nan nan nan
68 52112 184 184 0 0.4572644937 1.933400668 -1.857824851 1.457944716 3.315769567 -12.64293626 1.927484785 14.57042105 -4.194818758 2.829937477 13.61504889 214.9182377 0.9994319763
69 62912 445 445 0 -0.8650555974 3.685098248 -3.687922471 6.824441566 10.51236404 -20.32629658 8.461314199 28.78761078 -0.1901981283 8.612508202 18.78690815 194.0487787 0.9979360061
70 165903 8688 0 8688 nan nan nan nan nan nan nan nan nan nan nan nan nan
71 27803 337 337 0 4.367231476 14.09350323 -26.38232437 15.94358451 42.32590888 -29.96603281 17.71708922 47.68312203 -0.6142977365 35.87514344 39.45885188 198.2745964 0.9700593183
72 133750 808 0 808 nan nan nan nan nan nan nan nan nan nan nan nan nan

K=73, phase=forward, parameter=a [km]
cluster representative_source n_cluster n_valid n_missing median std p05 p95 width90 minimum maximum range skewness error95 error_max angle_origin_deg angle_resultant
0 151769 15807 15806 1 193272.1977 81249.38205 188060.697 326446.558 138385.861 187998.576 1093940.343 905941.7669 5.671679854 138255.1738 905748.9587 nan nan
1 23310 3589 3589 0 206059.1876 6176.201653 198944.3616 218131.1416 19186.78 198317.9059 219809.4388 21491.53292 0.3926240623 10667.54493 12345.84212 nan nan
2 23125 685 2 683 9764682.191 9024437.463 1642688.474 17886675.91 16243987.43 740244.7277 18789119.65 18048874.93 nan nan nan nan nan
3 174958 1272 1272 0 223617.7077 455208.8243 205970.4649 277823.2583 71852.79339 202564.8491 16453922.65 16251357.8 35.57699365 66726.35555 16242825.75 nan nan
4 46306 534 534 0 207884.8293 11066.87882 206726.0621 209139.1419 2413.079793 206194.4575 290782.827 84588.3695 7.077412178 1367.886453 82760.44562 nan nan
5 82529 850 850 0 1454880.328 496867.6756 1080822.707 2658092.031 1577269.324 1001474.513 3645477.282 2644002.769 1.298684711 914955.5584 1902340.809 nan nan
6 32340 46 46 0 209242.1107 13573.77297 207721.1046 233576.6383 25855.53373 205695.8635 287295.2488 81599.3853 3.859065327 24391.96691 78110.57744 nan nan
7 27925 872 872 0 216434.4962 8446.473442 202643.431 231658.6269 29015.19597 200641.1537 240666.1876 40025.03385 0.2723940617 15811.49827 24819.0589 nan nan
8 41926 252 252 0 208289.4128 28442.48929 205988.1897 288317.1886 82328.99895 191760.5805 291424.9258 99664.34529 1.993031973 80346.24629 83453.98352 nan nan
9 72665 17262 17262 0 193550.3017 94468.43604 188177.1784 370511.1676 182333.9893 188028.9339 2140816.243 1952787.309 6.216971876 180994.0573 1951299.133 nan nan
10 10200 4755 4755 0 210386.388 4730.250343 203528.546 218170.8375 14642.29155 202451.942 219710.2734 17258.3314 0.1055609173 8194.520578 9271.124564 nan nan
11 221066 1576 1576 0 215308.0128 38069.57524 192517.5565 280150.7912 87633.23463 188394.7789 548566.8372 360172.0583 4.108781555 71175.55833 339591.6044 nan nan
12 21398 373 373 0 366540.7027 112095.5686 194963.3625 539858.6426 344895.2801 189844.4128 861457.3508 671612.938 0.8942682632 189562.1255 481118.9187 nan nan
13 152421 1767 1767 0 194661.5011 99631.72752 188305.805 261042.349 72736.54402 188195.978 3928762.039 3740566.061 30.09885791 70850.22174 3738569.911 nan nan
14 173287 1246 1246 0 240113.2694 33345.16596 232973.189 240837.9738 7864.784708 206417.5895 760085.6503 553668.0609 13.91686953 9721.14226 519488.5158 nan nan
15 52788 2606 2606 0 209604.2063 4440.671721 203363.9334 217334.5569 13970.62351 201333.4052 219457.0339 18123.6287 0.1986778236 7677.060666 9373.933232 nan nan
16 84771 761 761 0 200537.2996 336101.4424 188620.9072 966950.6923 778329.785 188375.5304 3868441.785 3680066.255 4.778945161 775853.5983 3677344.691 nan nan
17 66531 158 158 0 211094.1212 23346.0961 207963.4124 288307.4833 80344.07092 207717.5978 290667.2668 82949.66899 1.914267384 77278.73494 79638.51841 nan nan
18 120454 12412 12412 0 202959.3096 25977.26762 193472.5995 208004.6346 14532.03514 190713.197 1054275.81 863562.613 25.47241609 9139.710144 851717.7206 nan nan
19 32794 250 250 0 205878.2339 5256.523089 200832.2647 215927.0036 15094.7389 198555.7519 236224.2263 37668.47437 1.100934693 8613.257374 28661.70522 nan nan
20 110195 959 959 0 219170.6171 5709.127768 211533.3176 228794.0793 17260.76165 205641.9386 240591.3772 34949.43866 0.3134355567 10369.68008 21122.96417 nan nan
21 23602 348 348 0 204138.4047 111500.0643 191910.1108 518779.1752 326869.0643 189787.3275 633371.7239 443584.3965 1.255866513 315971.6172 430564.166 nan nan
22 60 433 74 359 281291.0301 172715.9593 274892.6419 787092.1192 512199.4773 211804.3863 871383.2401 659578.8538 2.207823486 nan nan nan nan
23 151422 3209 3209 0 196238.4924 243210.61 188334.4647 292626.6376 104292.173 188190.521 9903671.596 9715481.075 35.19722436 101772.789 9712817.748 nan nan
24 69514 1584 1584 0 201797.0828 9683.2593 193918.2077 206314.1468 12395.9391 191900.3895 291166.9449 99266.55542 7.229511175 7336.272146 90396.32398 nan nan
25 159163 370 370 0 196441.8604 1933776.293 188348.9353 3775179.52 3586830.585 188218.9593 29950842.12 29762623.16 10.42874017 3586219.275 29761881.88 nan nan
26 148599 641 641 0 197587.1387 196971.7457 188484.0129 310823.0175 122339.0046 188316.9417 4480813.766 4292496.825 16.85633596 119301.9881 4289292.737 nan nan
27 167957 1 1 0 206642.0602 0 206642.0602 206642.0602 0 206642.0602 206642.0602 0 nan 0 0 nan nan
28 10887 501 501 0 757366.5207 928597.5034 206107.8184 2702678.123 2496570.305 189465.639 8837569.013 8648103.374 3.408524681 1892684.053 8027574.943 nan nan
29 36859 155 155 0 210408.1099 19207.13297 207896.0745 277185.6304 69289.55587 206005.9538 290701.7456 84695.79177 2.719991678 66484.8723 80000.98749 nan nan
30 49395 7398 7398 0 199700.2876 51343.65587 189191.4281 222757.2287 33565.80068 188845.741 1306594.606 1117748.865 14.6260071 22261.85568 1106099.233 nan nan
31 90992 2366 2363 3 225370.6248 5385.600766 213997.7961 230337.2706 16339.4745 206767.2447 239737.3683 32970.12358 -0.7071992729 11565.43183 18547.21813 nan nan
32 176015 15423 15423 0 203090.7638 696449.048 189276.4731 244709.3148 55432.84164 188576.6305 76282242.54 76093665.91 92.64312363 39908.42145 76077441.64 nan nan
33 116002 10722 10721 1 211854.1185 52086.9103 193700.9278 223754.5497 30053.6219 188388.312 963557.609 775169.297 9.518522553 24080.98742 750371.6036 nan nan
34 29841 93 93 0 1216593.667 1083660.089 206553.7338 2918027.816 2711474.083 189947.1119 6153184.926 5963237.814 1.988758228 1756881.48 4992038.59 nan nan
35 69158 1454 1454 0 200608.0403 1045.040066 199369.5264 202661.8405 3292.314063 199011.1202 203744.2502 4733.129973 0.5120140806 1956.80242 3039.212145 nan nan
36 31348 169 169 0 237164.9242 4021.831203 234120.2045 239905.5296 5785.325049 209014.8963 240454.1176 31439.22137 -5.295122714 4915.885647 30021.1939 nan nan
37 181346 813 813 0 198015.9498 1061348.565 188398.7403 495610.3143 307211.574 188334.9515 8775147.526 8586812.575 5.481591972 305706.0073 8585243.219 nan nan
38 31678 340 340 0 337722.509 530034.799 204928.1667 1637453.104 1432524.938 189245.1579 3634819.281 3445574.123 2.128330999 1427422.164 3424788.34 nan nan
39 58460 11875 11875 0 197573.1792 31688.49863 188746.3915 258461.4304 69715.0389 188403.8878 519281.0089 330877.1211 4.609789466 63784.86028 324604.4387 nan nan
40 37086 551 551 0 209561.034 10502.79936 208320.4464 240871.6829 32551.23653 207046.4306 286989.639 79943.2084 4.690724517 31297.58931 77415.54534 nan nan
41 98857 124 124 0 210224.4885 14035.47167 207838.0511 240326.6923 32488.64115 207695.8669 290687.8457 82991.97878 3.497129323 29842.78254 80203.93598 nan nan
42 29606 244 244 0 222430.0334 6777.488115 209048.358 230780.0785 21731.7205 204851.5384 237794.2941 32942.75571 -0.4135267966 14175.35343 18199.32374 nan nan
43 28594 193 193 0 228853.0097 17689.70431 209686.2801 241084.5046 31398.22441 207859.0466 291060.468 83201.42133 1.023025909 25849.01727 57318.02953 nan nan
44 47728 464 0 464 nan nan nan nan nan nan nan nan nan nan nan nan nan
45 23915 4569 4568 1 198429.6489 1921.106981 195964.7009 202224.9737 6260.272727 195345.8198 203423.1868 8077.367004 0.3666189341 5376.871056 6575.084165 nan nan
46 33367 591 591 0 210918.2286 49128.19903 207271.988 214059.8402 6787.852126 188400.7196 1003781.132 815380.4121 13.24371307 7284.523282 793181.7162 nan nan
47 175331 13260 13259 1 193342.0601 91194.19373 188149.7852 397091.3739 208941.5887 188026.0612 1047983.373 859957.3116 4.084126944 207852.0773 858744.0763 nan nan
48 152164 538 538 0 196697.396 234356.3653 188468.7592 888099.6524 699630.8932 188380.6363 1321953.635 1133572.999 2.22755921 697194.8795 1131048.863 nan nan
49 218982 870 870 0 230587.9391 2679898.234 226595.2246 233657.0323 7061.807755 202433.2601 36245110.86 36042677.6 7.439687335 27428.59201 36015193.86 nan nan
50 99635 427 426 1 227878.4789 9337.874594 217029.2101 231079.4141 14050.20395 209003.7676 286467.5527 77463.78505 4.0710225 13753.90459 58558.59415 nan nan
51 75967 243 243 0 206682.5604 21734.48102 189632.3817 233322.6396 43690.25795 189478.0538 344321.4846 154843.4308 4.00968035 43589.88694 154588.7319 nan nan
52 204256 1635 1635 0 791536.8623 324750.5975 191026.1792 1019446.254 828420.0745 189314.5534 1200626.417 1011311.864 -0.4530979361 635755.2678 637466.8935 nan nan
53 47027 2323 2323 0 221111.8778 5403.962485 210476.9878 228047.3423 17570.35446 202668.2523 238465.7163 35797.46391 -0.5902511696 10403.95555 17949.20482 nan nan
54 153332 545 545 0 195211.464 113998.7248 188434.7474 301635.3476 113200.6002 188318.3353 1018165.256 829846.9209 5.521523254 111199.1136 827729.0222 nan nan
55 165874 9617 9617 0 191478.6652 15700.79433 188608.3176 204975.7228 16367.40523 188421.3759 764392.5466 575971.1707 24.39345397 14295.87436 573712.6982 nan nan
56 105817 678 678 0 205823.2027 3864.526513 200682.0991 211998.6704 11316.57126 200496.666 233962.9125 33466.24649 0.5920598811 7078.198966 29042.44107 nan nan
57 33842 433 433 0 209749.0714 13030.6203 208851.428 211345.446 2494.01799 203867.0751 290444.1243 86577.0492 5.451527221 1673.4797 80735.13396 nan nan
58 6146 1530 1530 0 221334.7716 3038.721915 217506.2762 224599.4789 7093.202606 203399.0067 225558.3027 22159.29596 -2.294514718 4284.763792 18392.03331 nan nan
59 11641 1358 1358 0 224474.1442 3088.548058 219787.3623 227757.3656 7970.003247 201285.7618 232676.4363 31390.67455 -1.765013965 4742.240884 23103.38221 nan nan
60 100641 480 480 0 203196.0255 1210830.457 193465.4373 3625554.212 3432088.775 190025.3831 5048290.698 4858265.314 1.60595598 3423827.178 4846563.664 nan nan
61 36030 792 792 0 207898.5394 367670.2534 189471.6274 1100048.344 910576.7171 189369.5122 2493776.735 2304407.223 2.751307943 910593.971 2304322.362 nan nan
62 46308 75 75 0 208648.6495 5194.794417 207628.6984 209738.0713 2109.372877 207530.476 240626.526 33096.04999 5.851567514 1274.3562 32162.81097 nan nan
63 148588 6839 6838 1 196967.1251 170190.8806 188409.9171 276552.9683 88143.05115 188239.9341 5805939.396 5617699.462 20.78031116 85227.81571 5614614.243 nan nan
64 30178 606 606 0 209890.819 11243.55502 209693.8674 213448.7987 3754.931308 208005.624 289124.0554 81118.4314 5.737683502 3627.493128 79302.74983 nan nan
65 42086 7498 7497 1 211083.4328 118614.7986 191402.0914 279783.9129 88381.82142 189237.1821 1894268.983 1705031.801 7.523927581 69752.71954 1684237.79 nan nan
66 19851 368 368 0 592209.1442 435336.0785 197064.6924 1246383.88 1049319.188 189498.2159 4513902.019 4324403.803 3.450712884 613679.3537 3881197.493 nan nan
67 184619 884 884 0 237518.4948 3432.922909 235469.3311 239344.3983 3875.067272 204350.2082 291527.457 87177.24882 5.905554998 3534.88512 52547.16248 nan nan
68 52112 184 170 14 203036.1085 662113.0848 188864.1177 1311992.142 1123128.025 188381.4461 7296020.845 7107639.399 6.445558342 1115977.387 7100006.09 nan nan
69 62912 445 445 0 209275.2424 15376.04565 208254.2674 240871.0048 32616.73741 206206.1189 290545.4692 84339.35023 3.928705867 31730.2111 81404.67542 nan nan
